https://forum.valuepickr.com/t/phreaks-thoughts-ideas-and-opinions/180929/284?u=vidit,
,
Rapicut carbide,Anand
Aarti Surfactants Ltd — Highest engagement among recent stock-specific posts (hundreds of likes + high bookmarks). Strong positive results + active valuation discussion.,
Apar Industries Ltd — Solid engagement on the results post; clear positive emphasis on EPS growth.,
Unihealth Hospitals Ltd — Good engagement on the price-move/profit-booking post.,
Oracle Financial Services Software Ltd — Solid likes on the results update.,
Asahi Songwon Colors Ltd / Gujarat Containers Ltd — Similar solid engagement levels on positive results posts.,
Novartis India Ltd — Decent engagement on the follow-up performance discussion.,
"High Energy Batteries (India) Ltd (with Fluidomat) — Notable discussion post engagement, though more questioning of growth.",
Trejhara Solutions Ltd — Recent positive results mention but lower engagement so far.,
"BlackBerry / Nokia — Mentions exist with some engagement, but less focused Indian small/mid-cap style discussion.",
"Alan Scott Ltd, Accel Ltd, and passing references (Hitech Gear, Samkrg Piston) — Lower relative emphasis or more critical/neutral tone.",
Waaree Renewable (also referenced as Waaree Energies / related Waaree entities) — ~158X,
Stylam Industries (Stylam) — ~52X,
Ritco Logistics — ~15X (also noted at 52-week high and ~16X from 2021 entry),
Bajaj Steel — ~9.5X,
Alan Scott — ~8X (noted as a 2023 management-change bet),
JITF Infra Logistics — ~7.8X,
BCL Industries — ~3.4X,
Beardsell — ~2.7X,
Darjeeling Industries — ~2.7X (also discussed re: SEBI order / manipulation comments),
Transpek (price charts/updates showing strong moves),
Bansal Roofing (order/award updates),
NDL Ventures (shareholder/merger updates involving Hinduja Leyland Finance / HLFL),
Ather Energy (posed as a comparison question vs. Waaree Renewable),
Vaxfab Enterprises (financial results shared),
"AVI Polymers (detailed commentary on bonus/split announcement, results, and risks)",
Sai Life Sciences — Tier 1 CRAMS/CDMO. Grouped with current high-potential names in the Intelligent SIP context.,
@unseenvalue,
Anthem Bio — Tier 1 list. Cited as a present-day example of the pattern seen in earlier winners.,
@unseenvalue,
"Unimech — Multiple recent dedicated posts and a Substack link focusing on capability-to-capital transition, CNC utilization, and Q1 FY27 commentary.",
@unseenvalue,
"Intellect Design Arena (#IDA), Eureka Forbes, Timken, Tatva Chintan, Sona Comstar, Sansera, Cohance, Viyash, and Praj Industries

",
"Cemindia Projects Limited (previously ITD Cementation; CEMPRO / BSE 509496): Detailed analysis (Aug 2026). Trading at a modest premium to sector (P/E ~38x vs sector ~35x; market cap ~₹22,800–23,500 Cr). Strong points: record order book (~₹31,300 Cr), healthy inflows (metro, marine, tunnels, industrial, data centres, etc.), TTM EPS growth ~47%, improving project mix/margins (normalized ~10–10.5% EBITDA targeted), Adani parentage aiding opportunities/execution perception. View: Moderate further re-rating potential driven more by sustained execution/earnings growth (20–30%+ annual possible) than multiple expansion. Risks include valuation, EPC execution delays/overruns, margin normalization, and working capital. Analyst notes support strong order pipeline and growth forecasts.",
@SudhirN94847744,
"Unimech Aerospace and Manufacturing Ltd (UNIMECH): Highlighted earlier (April 2026 post referenced recently). Price moved from ~₹850 to ~₹1,400 (about 65% in ~4 months); recent levels around ₹1,330–1,370 (new 52-week highs in some data). Aerospace/manufacturing focus in capital goods/defence-adjacent space. Presented as having an evolving positive story despite earlier PE/earnings skepticism.",
@SudhirN94847744,
"MTAR Technologies (MTARTECH): Recent mentions of recovery with back-to-back upper circuits after a correction (“jhukega nahi sala”). Past example: bought near ₹1,800, sold at ₹1,500 (patience lost), later crossed ₹8,700. Recent price levels ~₹6,000–6,300 (52-week range wide, including highs near ₹8,700). Precision engineering for nuclear, space, defence, etc. High valuation (elevated P/E) but strong historical growth narrative.",
@SudhirN94847744,
"Devson Catalyst Limited (BSE SME 544823): Caught attention via SME filters (~23 filters used). Opportunities: import substitution, capacity expansion, specialty catalyst/adsorbent/ceramic manufacturing. Risks: customer qualification and concentration. Recent SME IPO (July 2026, price band ~₹112–118); post-listing prices around ₹200–230 range in available data. Strong margin expansion and capacity growth noted in company context.",
@SudhirN94847744,
"Jupiter Wagons Ltd: Referenced as a past multi-bagger example (bought ~₹123 in 2023, sold near ₹650, peaked ~₹748, later ~₹260). Rail/wagons sector with prior infrastructure capex tailwinds; used to illustrate importance of entry/exit timing and fundamentals.",
@SudhirN94847744,
"Yasho Industries Limited: Noted as already having turned into a multi-bagger (performance chemicals for rubber, food, lubricants, etc.).",
@SudhirN94847744,
,
"Haldyn Glass Ltd
Strong recent discussion around Q1 results, upper-circuit moves (e.g., Aug 4), technical momentum shifts to bullish, and MarketsMojo coverage/upgrades or rating changes. Notable relative strength and micro-cap packaging focus.
Balaji Amines Ltd
Significant coverage of strong Q1 FY27 profit growth (roughly doubling YoY in some reports), margin expansion, DME plant commissioning (India’s first commercial-scale), and large YTD gains. Specialty chemicals/EV-related triggers featured in results analysis.
ADF Foods Ltd
Results-focused discussion (Q1 revenue growth ~26% YoY with stable margins despite headwinds, new Surat plant, tariff refund notes). Sequential profit decline drew price reaction and commentary on expansion/guidance.
Tips Music (TIPS)
Coverage of Q1 revenue growth, higher content spend impacting profits, buyback considerations, and multi-bagger history. Part of broader media/entertainment sector talk.
Saregama
Mentioned in media-sector context (piracy crackdowns, catalog strength, related to Tips/Nifty Media themes). Less intense standalone recent results/price fireworks than the above in searched coverage, though linked to the same sector narrative.
TPL Plastech (and related TPL/Time Technoplast holding context)
Results commentary on consistent revenue growth, expansion (Bhuj facility), and solar plans. More niche micro-cap packaging discussion with mixed notes on margins.
",
Jeevan patwa,
"Laurus Labs (#Lauruslab / #Lauruslabs)Highest multi-year conviction, frequently reiterated.  Long-standing thesis (repeated at events since Nov 2022) of market-cap growth from ~₹3,000 cr at the start of the decade toward ₹3 lakh cr. Recent posts note progress to ~₹1 lakh cr market cap by Aug 2026.  
Strong July 2026 results highlighted (“on steroids”): 62.7% gross margins, 31.8% EBITDA, 44% CDMO contribution, revenue >₹2,000 cr for the quarter, PAT ₹362 cr.  
Explicit “We are invested.” Views remained unchanged through earlier softer periods on the basis that capacities and capabilities were already built.  
Multiple high-engagement posts in July–August 2026.

2. Azad Engineering (#AzadEngineering / #AzadEngg)Very high conviction with concrete milestone updates.  July 2026: Delivery of India’s first indigenous expendable turbo-jet engine (350 kg thrust class) to DRDO (manufactured with industry partner).  
March 2026: Long-term (8-year) single-source supplier contract with Mitsubishi for complex hot-section nozzle vane segments of gas turbine engines — described as a rare achievement for an Indian precision-engineering firm and a step toward peers like Howmet.  
Emphasized unique capabilities (e.g., only Indian company among a handful globally making certain airfoil components).  
Explicit “We are invested” / “I’m invested.” High-engagement posts.

3. Axiscades (#Axiscades / #AxisCades)Repeated detailed conviction around a major business transformation.  Posts on order wins (e.g., avionics hardware for LCA Mk1A), large planned capex (Aeroland, DAC, MAC), acquisitions in aerospace/ESAI, and a bold vision in defense, aerospace, radars, missiles, UAVs, space, and electronics for global hyperscalers/consumer/telecom clients.  
Acknowledged weak recent results (deferrals, one-time charges) but framed them as temporary; compared the setup to the earlier Laurus conviction period.  
Explicit “We are invested.” Multiple substantive posts in May–June 2026.

4. Sedemac (#Sedemac)Strong deep-tech focus with multi-year preparation narrative.  Firm has studied deep tech for ~3 years and publishes related newsletters.  
Commentary on poor IPO response (undersubscribed in HNI/retail at ~₹1,350) followed by sharp post-listing gains and a global brokerage target of ₹3,700.  
Positioned as an example of sensor-less ISG technology and broader deep-tech opportunity in India.  
High-engagement posts emphasizing that understanding deep tech requires hard work but can create significant wealth.

5. Manorama Industries (#ManoramaInd)Clear long-term growth projections with personal holding disclosure.  Highlighted strong historical growth (sales CAGR ~37%, PAT CAGR ~57% over recent years; FY26 figures cited).  
Expectation of scaling to ~₹5,000 cr sales / ₹1,000 cr PAT over the next 5 years.  
Explicit “I’m invested.”

6. RNIT (micro-cap AI-related)Positive FY26 results update (revenue +60%, EBITDA +102%, PBT +127%, margin expansion to 40%).  
Explicit “I’m invested.”

Other mentions in the period include comparative notes on Aequs (valuation critique vs. Azad) and educational threads on related themes (power semiconductors/Cybertech, radar hardware, defense tech), but without the same intensity of “invested” language or repeated high-conviction framing as the above.Ranking rationale: Laurus and Azad lead due to multi-post frequency, explicit ownership statements, major operational/contract milestones, and engagement. Axiscades and Sedemac follow for transformation/deep-tech depth. Manorama and RNIT are solid but less frequently discussed in the window.  

",
Naveen,
